title,content
Como posso realizar o desligamento manual de um colaborador no sistema?," É possível realizar o desligamento via Portal RH. Siga os passos: acesse o menu lateral esquerdo “Beneficiários”, procure pelo colaborador que deseja desligar, clique no botão de ação “…” e selecione ""desligar"". Este passo é válido somente para colaboradores que possuem cadastro no aplicativo. "
Como posso realizar o desligamento de colaboradores via atualização de base no sistema?,"Para realizar o desligamento via base, exclua o colaborador do arquivo (.csv ou .xlsx) e atualize a base no Portal RH seguindo estes passos:

    - Acesse o menu lateral esquerdo, selecione ""Atualizar base"".
    - No passo ""2. Faça upload da base"", clique em ""Selecionar arquivo"" e faça o upload do novo arquivo.

Lembrando que a base deve conter todos os colaboradores ativos e elegíveis da empresa. Aqueles que já estavam listados anteriormente e não constarem na nova base serão automaticamente desligados."
Como acessar o boleto de coparticipação?,"Para acessar o boleto de COPAY basta ir no Menu esquerdo, selecionar ""Faturas"" e em seguida, ""coparticipação""."
"Quando e como é gerado o FEE mensal da TotalPass, e qual o prazo para contestação do valor?","O FEE é gerado todo dia 10 referente ao mês anterior e possui um prazo de contestação de 3 dias úteis, caso a empresa não reconheça o valor cobrado e/ou esteja fora do valor acordado. Assim, a empresa que manifestar algum problema dentro dos 3 dias úteis, nós levaremos a demanda ao financeiro. O vencimento do boleto é para o dia 10 do mês subsequente, por exemplo:

Fechamento referente ao mês de Maio é gerado dia 10/05, até dia 13/05 ela poderá fazer alguma contestação para ajuste. O valor estando correto ou o ajuste sendo feito, o boleto terá vencimento no dia 10/06. 
O boleto e a NF devem ser retirados dentro do Portal RH. Acesse o boleto em Faturas > FEE"
Como faço para subir a base de colaboradores no Portal RH?,"Para realizar a subida de base dentro do Portal RH é necessário fazer o login no Portal RH. Depois, no menu localizado à esquerda, vá na opção “Atualizar Base”. Ao clicar, selecione um modelo de base para baixar (.csv ou .xlsx). Ao baixar o modelo desejado, abra este arquivo e em uma coluna deverá colocar o CPF dos colaboradores que poderão utilizar o benefício e na outra, o CNPJ da empresa (não realize nenhuma alteração/formatação neste arquivo). Salve estas informações e faça o upload da base no passo 2. Faça o upload da base e depois clique em “Iniciar análise” ainda no passo 2.
Por fim clique no passo 3 (Confirme a atualização) você deverá clicar em “revisar relatório” para conferência e aprovação do envio da base.
Pronto, os colaboradores já poderão utilizar o benefício. Mas lembre-se, ao cadastrar a base em nosso Portal RH não fará com que eles apareçam na aba de beneficiários. Eles aparecerão somente após eles se cadastrarem no app e se vincularem à empresa.
Lembre-se de manter a base atualizada em caso de demissões/contratações basta subir a base adicionando ou retirando algum colaborador. Sempre que realizar uma atualização da base com novos CPFs, deverá subir ela completa, ou seja, informando todos os CPFs, tanto os novos, quanto os que já utilizam.
"
O colaborador informou que já possuía o plano anteriormente e não está conseguindo acessar. Como proceder?,"Colaboradores que já tiveram cadastro conosco anteriormente através de outra empresa ou como dependentes, podem solicitar a troca de vínculo pelo app. Caso essa opção não esteja disponível ou tenha dado erro, os próprios devem abrir chamado com nosso time de SAC (sac@totalpass.com.br / App: Minhas Conta > Fale Conosco), solicitando a migração de empresa. 
Ao solicitar migração de empresa, nosso SAC pede alguns documentos para evitar que usuários que não façam parte do quadro de colaboradores da empresa sejam migrados incorretamente.
Entre os documentos, estão:
Comprovante de vínculo empregatício atualizado;
Foto legível do RG (frente e verso);
Foto selfie segurando o RG (frente e verso);
Número de matrícula.
Em relação ao número de matrícula, é uma informação do colaborador dentro da empresa e não em nosso sistema. Nem todas as empresas utilizam matrícula. Portanto, caso vocês não usem, pode orientar seus colaboradores a informarem ao SAC que a a empresa não utiliza número de matrícula e seguirem com as demais informações solicitadas.
"
Como adicionar um colaborador manualmente?,"Na aba “atualizar base”, no canto direito dela há um botão escrito “adicionar novo colaborador individualmente”, basta clicar nele, inserir os dados e confirmar."
Como remover um colaborador manualmente?,"Na aba “Beneficiários”, pesquise o nome do colaborador e selecione o botão “desligar”. O usuário irá cumprir o ciclo vigente e, ao final, ficará inativo. Observação: Este passo a passo só é possível para usuários que possuem cadastro no app. Caso queira desligar um colaborador que não realizou o cadastro no app, será necessário atualizar a base, importando um arquivo com todos os CPFs, exceto dos colaboradores que foram desligados. Assim, o sistema irá comparar a base atual com a anterior e irá desligar os CPFs que não foram incluídos.
"
Qual a idade mínima para incluir um dependente?,A idade mínima para ser cadastrado como dependente é de 16 anos
Qual a idade minima para realizar o cadastro?,"Para realizar o cadastro, é necessário ter mais de 16 anos."
Também devo realizar o cadastro dos dependentes?,"O cadastro dos dependentes não é feito no Portal RH. Os próprios colaboradores realizam o cadastro dos dependentes via aplicativo, e é super simples! É só o títular seguir esse passo a passo no app:

Abra o app e vá na aba Minha Conta,
Depois, toque em Meus Dependentes,
Por fim, é só clicar em Convidar Dependentes e preencher o CPF e o e-mail do seu dependente.
Assim que você fizer isso, ele vai receber uma mensagem dizendo 'Convite realizado com sucesso!' no app dele. Avisa o dependente que, a partir do convite, ele já pode acessar o app, se cadastrar e escolher o plano dele!

Ah, importante: Os dependentes não preciam ter ligação familiar. Portanto, podem ser amigos(as), namorado(a), primos...A única regra é que sejam maiores de 16 anos. 

"
Como o colaborador pode incluir dependentes?,"O cadastro de um dependente é super simples! É só o títular seguir esse passo a passo:

Abra o app e vá na aba Minha Conta,
Depois, toque em Meus Dependentes,
Por fim, é só clicar em Convidar Dependentes e preencher o CPF e o e-mail do seu dependente.
Assim que você fizer isso, ele vai receber uma mensagem dizendo 'Convite realizado com sucesso!' no app dele. Avisa o dependente que, a partir do convite, ele já pode acessar o app, se cadastrar e escolher o plano dele!

Ah, importante: Os dependentes não preciam ter ligação familiar. Portanto, podem ser amigos(as), namorado(a), primos...A única regra é que sejam maiores de 16 anos. 

"
"Preciso atualizar a quantidade de vidas contratadas, como faço? ","Atualizar o número de vidas no seu contrato nunca foi tão fácil! Vamos te explicar o passo a passo. O fluxo apresentado abaixo é aplicável para empresas que possuem o benefício contratado de forma direta. Para aqueles que tem o subsidio de uma empresa parceira, essa alteração deverá ser feita diretamente com nosso canal parceiro.

No Portal RH você pode fazer o upgrade ou downgrade do número de colaboradores cadastrados com apenas alguns cliques. 

Acesse a plataforma;
inicie fazendo o login na sua conta no Portal RH;
Em seguida, vá para a página inicial;
Localize a seção “Seu Contrato TotalPass”;
Depois, selecione a opção “Fazer Upgrade” para iniciar o processo.

Após clicar em “Fazer Upgrade”, uma caixa será exibida, permitindo que você selecione a quantidade de vidas que deseja adicionar ao seu contrato. Depois de selecionar a quantidade de vidas, verifique se todas as informações estão corretas e clique em “Confirmação” para efetuar a mudança.

Com a confirmação feita, seu contrato será atualizado automaticamente com as novas configurações, e um aviso ou confirmação na tela indicará que o upgrade foi realizado com sucesso.

Um detalhe importante: para realizar o downgrade, é só seguir os mesmos passos, selecionando a quantidade de vidas que você deseja reduzir.


"
"Por favor, gostaria que me enviassem o contrato","Caso você possua o benefício através de canal parceiro (Flash, VR, Swile...), o contrato é firmado diretamente com eles. Portanto, orientamos que entre em contato com seu ponto focal no parceiro para maiores informações. 

Agora, se você contratou direto conosco, o modelo de negociação é formalizado através do aceite no termo de adesão disponibilizado no site. 
O que é fundamental é que ambas as partes estejam de acordo com os termos e valores. Neste link, você tem acesso ao termo de aceite e adesão ao contrato de intermediação de serviços de saúde física e bem estar: https://cloud.info.totalpass.com.br/contrato-tpweb"
Quantas vezes por dia o colaborador pode ir na academia?,"Com a TotalPass, cada colaborador pode aproveitar a academia uma vez por dia. Isso significa que é possível realizar um check-in diário para usar a academia."
Como funciona a renovação do contrato?,"Caso você possua o benefício através de canal parceiro (Flash, VR, Swile...), o contrato é firmado diretamente com eles. Portanto, orientamos que entre em contato com seu ponto focal no parceiro para maiores informações. 

Agora, se você contratou direto conosco, o seu contrato é renovado automaticamente a cada 12 meses, como estabelecido. Isso pode incluir ajustes na taxa, de acordo com o índice de reajuste (IPCA-IGPM). "
Existe algum regime de contrato específico que meu colaborador precisa ter para utilizar o benefício?,"Sem restrições! Aceitamos todos os regimes de contrato, CLT, PJ, estagiário e outros. Todos são bem-vindos!
Importante: Caso possuam colaboradores Jovem Aprendiz, o benefício está disponível somente para usuários acima de 16 anos"
Como funciona o desligamento de colaborador com o plano ativo?,"Os colaboradores com um ciclo ativo continuarão a usar o benefício até o final do ciclo. Aqueles sem ciclo ativo não poderão mais ativar o benefício após o desligamento.

Aqui temos alguns exemplos práticos:

Se um colaborador está no ciclo ativo de 01/07/2024 a 30/07/2024 e é desligado em 15/07/2024, ele poderá usar o plano até 30/07/2024, mas não conseguirá estender ou reativar o benefício após essa data.

Se o colaborador não tem ciclo ativo e é desligado em 15/07/2024, ele não poderá aderir a nenhum plano a partir dessa data. O colaborador pode aparecer tanto no fechamento atual quanto no próximo, caso o ciclo se encerre no mês seguinte ao desligamento.

Se precisar de mais alguma coisa, estamos aqui para ajudar!"
"Quando um colaborador é desligado, os seus dependentes também são?","Quando um colaborador é desligado, seus dependentes também serão. No entanto, se os dependentes tiverem um ciclo ativo, eles continuarão a usar o benefício até o final desse ciclo."
Como funciona o distrato com a TotalPass?,"Quando a empresa decide encerrar a parceria com a TotalPass, basta nos avisar! Vamos solicitar o termo de distrato ao nosso jurídico e enviá-lo para validação e assinatura, sempre respeitando o aviso prévio do contrato. Enquanto isso, informamos todos os usuários ativos (titulares e dependentes) sobre o término da parceria e até quando poderão usar o plano, lembrando que cada um terá sua data de encerramento conforme o ciclo do seu plano.

Um detalhe importante: para quem possui TotalPass através de canal parceiro (Swile, Flash, VR...) é necessário que solicite o distrato para o canal e eles formalizarão conosco. "
No meu Portal RH não aparece a opção de validação por base,"Se o seu RH ainda está aprovando cadastros manualmente no Portal e você prefere uma validação automática por meio da base de colaboradores, boa notícia, temos a solução! Solicite a mudança para o nosso time por aqui e torne a validação mais prática e eficiente."
Qual a data da cobrança da coparticipação no pagamento via cartão de crédito?,"Olha só como funciona para o beneficiário:

Se o pagamento for via cartão de crédito, não há uma data fixa para a cobrança. Assim que o beneficiário ativa o plano pela primeira vez e faz o primeiro check-in, a cobrança é realizada, e esse dia se torna o 1º dia do ciclo dele. Agora, se o beneficiário contratar o plano e não fizer nenhum check-in até o 8º dia após a adesão, a cobrança será feita automaticamente nesse 8º dia, que então se torna o 1º dia do ciclo.

Para os beneficiários que já tiveram um plano com a gente, a cobrança ocorre logo após o cartão de crédito ser cadastrado, e a renovação acontece a cada 30 dias."
Qual a data da cobrança da coparticipação no pagamento via desconto em folha?,"Caso o pagamento for por desconto em folha, o fechamento é realizado no dia 10 de cada mês. O valor é disponibilizado no Portal RH, onde o RH tem 3 dias para fazer qualquer contestação. Após esse período, o boleto será emitido e ficará disponível para pagamento no dia 10 do mês seguinte.
"
Qual a forma de pagamento dos dependentes?,"Os dependentes podem ficar tranquilos! O pagamento é realizado via cartão de crédito, solicitado no momento da adesão ao plano. Simples e prático!
"
Qual a forma de pagamento dos colaboradores?,"O pagamento dos colaboradores é, por padrão, realizado via cartão de crédito, solicitado durante a adesão.
Se preferir o desconto em folha, entre em contato com o nosso time de Customer Service para verificar a disponibilidade dessa opção. Esse contato pode ser via chat no site (por aqui) ou através da nossa Central de Ajuda."
Quantos dependentes o colaborador pode cadastrar?,"Com a TotalPass, cada colaborador pode cadastrar até 3 dependentes. A empresa tem a liberdade de definir se esses dependentes serão apenas familiares legais (como pai, mãe, cônjuge), ou se também poderão incluir amigos e outros parentes.

"
E se meu colaborador já utilizar SmartFit?,"Seu colaborador pode realizar a migração de plano de forma simples! Após fazer o cadastro e escolher o plano que atenda à rede SmartFit na TotalPass, basta informar na unidade onde está matriculado que deseja migrar para a TotalPass. A SmartFit cuidará da migração sem cobrar nenhuma multa por cancelamento.

Atenção: Caso haja pendência financeiroa com a unidade, será necessário a regularização. "
Como realizar uma atualização cadastral do colaborador?,"Atualmente, devido à LGPD, os dados do colaborador só podem ser alterados por ele mesmo. As alterações podem ser feitas diretamente pelo app ou entrando em contato com o SAC em Minha conta > Fale conosco ou pelo e-mail sac@totalpass.com.br."
"Como os colaboradores acessam os aplicativos parceiros? (Smart Fit Coach, Psicologia Viva, Total Nutri, Queima Diária)","O acesso aos serviços online é feito diretamente através do app da TotalPass. Os colaboradores devem acessar a aba ""Parceiros"" para terem acesso ao Total Mind, Total Fit e Total Nutri, onde poderão utilizar o Psicologia Viva, Smart Coach entre outros! "
Como dar o aceite para o colaborador usar o TotalPass?,"Caso a sua empresa tenha o cadastro manual, ou seja, vocês precisam aprovar o cadatro dos colaboradores no Portal RH, primeiro, o colaborador se cadastra no app e a solicitação para aprovação irá refletir na aba ""Solicitações"". Agora, se vocês possuem a opção no menu ""Atualizar Base"", o RH deve importar a base informando CNPJ e CPF dos colaboradores. A base tem como objetivo principal aprovar o cadastro dos colaboradores de forma automática. Feito isso, eles estarão aptos para seguirem com cadastro pelo aplicartivo. "
Qual o procedimento para liberar o acesso do colaborador ao TotalPass?,"Caso a sua empresa tenha o cadastro manual, ou seja, vocês precisam aprovar o cadatro dos colaboradores no Portal RH, primeiro, o colaborador se cadastra no app e a solicitação para aprovação irá refletir na aba ""Solicitações"". Agora, se vocês possuem a opção no menu ""Atualizar Base"", o RH deve importar a base informando CNPJ e CPF dos colaboradores. A base tem como objetivo principal aprovar o cadastro dos colaboradores de forma automática. Feito isso, eles estarão aptos para seguirem com cadastro pelo aplicartivo. "
Como faço para autorizar o uso do TotalPass para um colaborador?,"Caso a sua empresa tenha o cadastro manual, ou seja, vocês precisam aprovar o cadatro dos colaboradores no Portal RH, primeiro, o colaborador se cadastra no app e a solicitação para aprovação irá refletir na aba ""Solicitações"". Agora, se vocês possuem a opção no menu ""Atualizar Base"", o RH deve importar a base informando CNPJ e CPF dos colaboradores. A base tem como objetivo principal aprovar o cadastro dos colaboradores de forma automática. Feito isso, eles estarão aptos para seguirem com cadastro pelo aplicartivo. "
"Fiz a inclusão de alguns colaboradores novos, mas não consta na lista","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Cadastrei novos colaboradores, mas eles não aparecem na lista. O que pode ser?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Incluí colaboradores recentemente, mas ainda não foram listados. Isso é normal?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
Adicionei novos colaboradores na base. Quanto tempo para eles aparecerem na lista?,"Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Após a inclusão de colaboradores na base, em quanto tempo eles ficam visíveis?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
Qual é o prazo para que os novos cadastros apareçam na listagem de colaboradores?,"Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
Existe uma forma de acompanhar se o colaborador foi cadastrado corretamente?,"Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
Fiz a importação da planilha e só aparece dois colaboradores. O restante não tem informação. Sabe me dizer o porquê?,"Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"ImporteI a planilha, mas a maioria dos colaboradores não aparece. O que pode ter dado errado?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
Apenas dois cadastros apareceram após a importação. Por que os outros não foram carregados?,"Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Importei, mas não aparecem os funcionários","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Após importar os dados, nenhum colaborador foi exibido. Isso é esperado?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Fiz a importação da planilha, mas nenhum nome apareceu. Pode verificar?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
Fiz o cadastro de um colaborador manualmente e não aparece como cadastrado,"Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Cadastrei um colaborador manualmente, mas ele não consta na plataforma. O que pode ser?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Incluí manualmente um funcionário, mas ele não aparece como registrado. Como resolver?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Atualizei a base, mas ainda não aparecem os titulares","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Fiz a atualização da base, mas os titulares não estão visíveis. Há um tempo de espera?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
"Após atualizar, os titulares ainda não foram listados. Isso é comum?","Após importar a base, os colaboradores só aparecerão na aba ""Beneficiários"" após concluírem o cadastro no aplicativo. Exemplo: Você subiu uma base com 50 CPFs, mas somente 5 refletem no Portal. Isso significa que, até o momento, somente 5 colaboradores se cadastraram no app. "
